Game_No,Round_Number,Date,Location,Home_Team,Away_Team,Group,Home,Away
1,1,2020-06-12 21:00,Rome,Turkey,Italy,A,0,3
2,1,2020-06-13 15:00,Baku,Wales,Switzerland,A,0,1
13,2,2020-06-17 21:00,Rome,Italy,Switzerland,A,3,0
14,2,2020-06-17 18:00,Baku,Turkey,Wales,A,3,2
25,3,2020-06-21 18:00,Rome,Italy,Wales,A,3,1
26,3,2020-06-21 18:00,Baku,Switzerland,Turkey,A,1,1
3,1,2020-06-13 21:00,Saint Petersburg,Belgium,Russia,B,2,0
4,1,2020-06-13 18:00,Copenhagen,Denmark,Finland,B,0,2
15,2,2020-06-17 15:00,Saint Petersburg,Finland,Russia,B,3,2
16,2,2020-06-18 18:00,Copenhagen,Denmark,Belgium,B,0,0
27,3,2020-06-22 21:00,Saint Petersburg,Finland,Belgium,B,0,3
28,3,2020-06-22 21:00,Copenhagen,Russia,Denmark,B,2,0
5,1,2020-06-14 21:00,Amsterdam,Netherlands,Ukraine,C,1,1
6,1,2020-06-14 18:00,Bucharest,Austria,PO D,C,3,2
17,2,2020-06-18 21:00,Amsterdam,Netherlands,Austria,C,2,2
18,2,2020-06-18 15:00,Bucharest,Ukraine,PO D,C,1,2
29,3,2020-06-22 18:00,Amsterdam,PO D,Netherlands,C,0,1
30,3,2020-06-22 18:00,Bucharest,Ukraine,Austria,C,1,1
7,1,2020-06-14 15:00,London,England,Croatia,D,3,2
8,1,2020-06-15 15:00,Glasgow,PO C,Czech Republic,D,1,0
19,2,2020-06-19 21:00,London,England,PO C,D,2,2
20,2,2020-06-19 18:00,Glasgow,Croatia,Czech Republic,D,2,1
31,3,2020-06-23 21:00,London,Czech Republic,England,D,1,2
32,3,2020-06-23 21:00,Glasgow,Croatia,PO C,D,2,2
9,1,2020-06-15 21:00,Bilbao,Spain,Sweden,E,0,3
10,1,2020-06-15 18:00,Dublin,Poland,PO B,E,3,1
21,2,2020-06-20 21:00,Bilbao,Spain,Poland,E,2,0
22,2,2020-06-19 15:00,Dublin,Sweden,PO B,E,2,2
33,3,2020-06-24 18:00,Bilbao,PO B,Spain,E,3,1
34,3,2020-06-24 18:00,Dublin,Sweden,Poland,E,3,1
11,1,2020-06-16 21:00,Munich,France,Germany,F,2,3
12,1,2020-06-16 18:00,Budapest,PO A,Portugal,F,1,1
23,2,2020-06-20 18:00,Munich,Portugal,Germany,F,0,1
24,2,2020-06-20 15:00,Budapest,PO A,France,F,0,3
35,3,2020-06-24 21:00,Munich,Germany,PO A,F,1,3
36,3,2020-06-24 21:00,Budapest,Portugal,France,F,3,0
38,4,2020-06-27 18:00,Amsterdam,Turkey,Finland,38,3,2
37,4,2020-06-27 21:00,London,Italy,Netherlands,37,1,1
39,4,2020-06-28 21:00,Bilbao,Belgium,Poland,39,1,1
40,4,2020-06-28 18:00,Budapest,Austria,PO A,40,0,2
42,4,2020-06-29 18:00,Copenhagen,PO C,PO B,42,1,2
41,4,2020-06-29 21:00,Bucharest,Germany,Croatia,41,3,2
43,4,2020-06-30 21:00,Glasgow,Sweden,Switzerland,43,0,1
44,4,2020-06-30 18:00,Dublin,England,Portugal,44,3,3
45,5,2020-07-03 18:00,Saint Petersburg,Germany,PO B,45,3,1
46,5,2020-07-03 21:00,Munich,Belgium,Italy,46,1,1
48,5,2020-07-04 21:00,Rome,Switzerland,England,48,1,1
47,5,2020-07-04 18:00,Baku,PO A,Turkey,47,3,1
49,6,2020-07-07 21:00,London,Belgium,Germany,49,0,0
50,6,2020-07-08 21:00,London,Switzerland,PO A,50,1,1
51,Final match,2020-07-12 21:00,London,Belgium,Switzerland,51,1,0
"","","",TopScorer,messi,"","","",""
"","","",Yellow Cards,100,"","","",""
"","","",Competitor,Daniel_1,"","","",""
"","","",Email,@,"","","",""
