"","Game_No","Round_Number","Date","Location","Home_Team","Away_Team","Group","Home","Away"
"1","1","1","2020-06-12 21:00","Rome","Turkey","Italy","A","1","3"
"2","2","1","2020-06-13 15:00","Baku","Wales","Switzerland","A","3","1"
"3","13","2","2020-06-17 21:00","Rome","Italy","Switzerland","A","0","0"
"4","14","2","2020-06-17 18:00","Baku","Turkey","Wales","A","2","3"
"5","25","3","2020-06-21 18:00","Rome","Italy","Wales","A","0","0"
"6","26","3","2020-06-21 18:00","Baku","Switzerland","Turkey","A","1","2"
"7","3","1","2020-06-13 21:00","Saint Petersburg","Belgium","Russia","B","1","0"
"8","4","1","2020-06-13 18:00","Copenhagen","Denmark","Finland","B","0","1"
"9","15","2","2020-06-17 15:00","Saint Petersburg","Finland","Russia","B","0","0"
"10","16","2","2020-06-18 18:00","Copenhagen","Denmark","Belgium","B","3","3"
"11","27","3","2020-06-22 21:00","Saint Petersburg","Finland","Belgium","B","1","1"
"12","28","3","2020-06-22 21:00","Copenhagen","Russia","Denmark","B","1","2"
"13","5","1","2020-06-14 21:00","Amsterdam","Netherlands","Ukraine","C","2","2"
"14","6","1","2020-06-14 18:00","Bucharest","Austria","PO D","C","1","0"
"15","17","2","2020-06-18 21:00","Amsterdam","Netherlands","Austria","C","2","3"
"16","18","2","2020-06-18 15:00","Bucharest","Ukraine","PO D","C","3","1"
"17","29","3","2020-06-22 18:00","Amsterdam","PO D","Netherlands","C","2","2"
"18","30","3","2020-06-22 18:00","Bucharest","Ukraine","Austria","C","3","0"
"19","7","1","2020-06-14 15:00","London","England","Croatia","D","0","0"
"20","8","1","2020-06-15 15:00","Glasgow","PO C","Czech Republic","D","3","3"
"21","19","2","2020-06-19 21:00","London","England","PO C","D","2","2"
"22","20","2","2020-06-19 18:00","Glasgow","Croatia","Czech Republic","D","0","3"
"23","31","3","2020-06-23 21:00","London","Czech Republic","England","D","3","2"
"24","32","3","2020-06-23 21:00","Glasgow","Croatia","PO C","D","3","1"
"25","9","1","2020-06-15 21:00","Bilbao","Spain","Sweden","E","3","2"
"26","10","1","2020-06-15 18:00","Dublin","Poland","PO B","E","0","2"
"27","21","2","2020-06-20 21:00","Bilbao","Spain","Poland","E","3","0"
"28","22","2","2020-06-19 15:00","Dublin","Sweden","PO B","E","1","0"
"29","33","3","2020-06-24 18:00","Bilbao","PO B","Spain","E","2","2"
"30","34","3","2020-06-24 18:00","Dublin","Sweden","Poland","E","3","1"
"31","11","1","2020-06-16 21:00","Munich","France","Germany","F","0","2"
"32","12","1","2020-06-16 18:00","Budapest","PO A","Portugal","F","3","1"
"33","23","2","2020-06-20 18:00","Munich","Portugal","Germany","F","0","0"
"34","24","2","2020-06-20 15:00","Budapest","PO A","France","F","3","2"
"35","35","3","2020-06-24 21:00","Munich","Germany","PO A","F","1","1"
"36","36","3","2020-06-24 21:00","Budapest","Portugal","France","F","2","1"
"37","38","4","2020-06-27 18:00","Amsterdam","Italy","Finland","38","1","0"
"38","37","4","2020-06-27 21:00","London","Wales","Austria","37","0","1"
"39","39","4","2020-06-28 21:00","Bilbao","Belgium","PO B","39","1","3"
"40","40","4","2020-06-28 18:00","Budapest","Ukraine","Portugal","40","0","3"
"41","42","4","2020-06-29 18:00","Copenhagen","Croatia","Sweden","42","0","1"
"42","41","4","2020-06-29 21:00","Bucharest","PO A","Denmark","41","1","0"
"43","43","4","2020-06-30 21:00","Glasgow","Spain","Turkey","43","3","3"
"44","44","4","2020-06-30 18:00","Dublin","Czech Republic","Germany","44","2","1"
"45","45","5","2020-07-03 18:00","Saint Petersburg","PO A","Sweden","45","1","2"
"46","46","5","2020-07-03 21:00","Munich","PO B","Austria","46","2","0"
"47","48","5","2020-07-04 21:00","Rome","Spain","Czech Republic","48","2","2"
"48","47","5","2020-07-04 18:00","Baku","Portugal","Italy","47","2","2"
"49","49","6","2020-07-07 21:00","London","PO B","Sweden","49","0","1"
"50","50","6","2020-07-08 21:00","London","Spain","Portugal","50","0","3"
"51","51","Final match","2020-07-12 21:00","London","Sweden","Portugal","51","1","2"
"52","","","","TopScorer","cfdsd","","","",""
"53","","","","Yellow Cards","500","","","",""
"54","","","","Competitor","Daniel_3","","","",""
